storeid,year,month,week,day,sales
125604,2016,8,31,20160902,26369.85
125604,2016,8,31,20160903,38010.82
125604,2016,8,32,20160904,30313.91
125604,2016,8,32,20160905,30531.79
125604,2016,8,32,20160906,15865.69
125604,2016,8,32,20160907,12786.2
125604,2016,8,32,20160908,19816.16
125604,2016,8,32,20160909,29036.64
125604,2016,8,32,20160910,51486.76
125604,2016,8,33,20160911,29324.5
125604,2016,8,33,20160912,19238.15
125604,2016,8,33,20160913,17485.72
125604,2016,8,33,20160914,19757.26
125604,2016,8,33,20160915,25193.71
125604,2016,8,33,20160916,31763.77
125604,2016,8,33,20160917,43854.6
125604,2016,8,34,20160918,33578.86
125604,2016,8,34,20160919,16766.45
125604,2016,8,34,20160920,15055.78
125604,2016,8,34,20160921,14836.82
125604,2016,8,34,20160922,18795.57
125604,2016,8,34,20160923,28868.28
125604,2016,8,34,20160924,44928.09
125604,2016,9,35,20160925,29840.08
125604,2016,9,35,20160926,17716.49
125604,2016,9,35,20160927,15959.82
125604,2016,9,35,20160928,15188.96
125604,2016,9,35,20160929,23842.23
125604,2016,9,35,20160930,33096.83
125604,2016,9,35,20161001,49306.58
125604,2016,9,36,20161002,33810.57
125604,2016,9,36,20161003,16446.16
125604,2016,9,36,20161004,17811.22
125604,2016,9,36,20161005,14733.95
125604,2016,9,36,20161006,21036.92
125604,2016,9,36,20161007,25831.13
125604,2016,9,36,20161008,38674.08
125604,2016,9,37,20161009,33181.9
125604,2016,9,37,20161010,22744.9
125604,2016,9,37,20161011,15945.74
125604,2016,9,37,20161012,13910.95
125604,2016,9,37,20161013,24727.88
125604,2016,9,37,20161014,32550.08
125604,2016,9,37,20161015,43103.93
125604,2016,9,38,20161016,30048.49
125604,2016,9,38,20161017,15790.26
125604,2016,9,38,20161018,13991.43
125604,2016,9,38,20161019,16477.86
125604,2016,9,38,20161020,17955.68
125604,2016,9,38,20161021,28615.24
125604,2016,9,38,20161022,40754.81
125604,2016,9,39,20161023,34322.6
125604,2016,9,39,20161024,17287.54
125604,2016,9,39,20161025,15808.4
125604,2016,9,39,20161026,14005.89
125604,2016,9,39,20161027,26197.5
125604,2016,9,39,20161028,30092.1
125604,2016,9,39,20161029,41885.48
125604,2016,10,40,20161030,33750.1
125604,2016,10,40,20161031,13232.91
125604,2016,10,40,20161101,16867.49
125604,2016,10,40,20161102,20298.62
125604,2016,10,40,20161103,23503.17
125604,2016,10,40,20161104,37780.37
125604,2016,10,40,20161105,54819.94
125604,2016,10,41,20161106,39830.22
125604,2016,10,41,20161107,18528.57
125604,2016,10,41,20161108,16867.36
125604,2016,10,41,20161109,18898.7
125604,2016,10,41,20161110,24605.35
125604,2016,10,41,20161111,45571.68
125604,2016,10,41,20161112,49925.21
125604,2016,10,42,20161113,35688.83
125604,2016,10,42,20161114,20458.86
125604,2016,10,42,20161115,17472.03
125604,2016,10,42,20161116,21283.38
125604,2016,10,42,20161117,27085.8
125604,2016,10,42,20161118,36787.3
125604,2016,10,42,20161119,52817.3
125604,2016,10,43,20161120,40487.16
125604,2016,10,43,20161121,21605.28
125604,2016,10,43,20161122,21013.79
125604,2016,10,43,20161123,27151.7
125604,2016,10,43,20161124,78027
125604,2016,10,43,20161125,128146
125604,2016,10,43,20161126,53957.23
125604,2016,11,44,20161127,36390.04
125604,2016,11,44,20161128,21828.05
125604,2016,11,44,20161129,21570.25
125604,2016,11,44,20161130,22747.77
125604,2016,11,44,20161201,32255.3
125604,2016,11,44,20161202,44086.34
125604,2016,11,44,20161203,67390.15
125604,2016,11,45,20161204,63037.72
125604,2016,11,45,20161205,37992.39
125604,2016,11,45,20161206,34234.32
125604,2016,11,45,20161207,37729.92
125604,2016,11,45,20161208,52103.34
125604,2016,11,45,20161209,73685.49
125604,2016,11,45,20161210,104896.18
125604,2016,11,46,20161211,84933.9
125604,2016,11,46,20161212,58503.57
125604,2016,11,46,20161213,61948.57
125604,2016,11,46,20161214,69733.28
125604,2016,11,46,20161215,69981.64
125604,2016,11,46,20161216,95973.8
125604,2016,11,46,20161217,138330.73
125604,2016,11,47,20161218,146707.42
125604,2016,11,47,20161219,118945.23
125604,2016,11,47,20161220,135037.33
125604,2016,11,47,20161221,122797.32
125604,2016,11,47,20161222,172633.14
125604,2016,11,47,20161223,232241.42
125604,2016,11,47,20161224,159409.07
125604,2016,12,48,20161225,0.01
125604,2016,12,48,20161226,40057.71
125604,2016,12,48,20161227,28676.9
125604,2016,12,48,20161228,19834.59
125604,2016,12,48,20161229,18701.97
125604,2016,12,48,20161230,22577.47
125604,2016,12,48,20161231,22270.4
125604,2016,12,49,20170101,18453.93
125604,2016,12,49,20170102,30774.89
125604,2016,12,49,20170103,16417.2
125604,2016,12,49,20170104,19364.03
125604,2016,12,49,20170105,23782.3
125604,2016,12,49,20170106,24493.5
125604,2016,12,49,20170107,37735.09
125604,2016,12,50,20170108,29555.43
125604,2016,12,50,20170109,10794.14
125604,2016,12,50,20170110,12757.19
125604,2016,12,50,20170111,14927.19
125604,2016,12,50,20170112,9223.67
125604,2016,12,50,20170113,23851.78
125604,2016,12,50,20170114,35979.29
125604,2016,12,51,20170115,25166.89
125604,2016,12,51,20170116,23708.46
125604,2016,12,51,20170117,12322.89
125604,2016,12,51,20170118,14497.9
125604,2016,12,51,20170119,16689.21
125604,2016,12,51,20170120,21159.88
125604,2016,12,51,20170121,40163.35
125604,2016,12,52,20170122,17018.81
125604,2016,12,52,20170123,13810.74
125604,2016,12,52,20170124,14443.94
125604,2016,12,52,20170125,15975.17
125604,2016,12,52,20170126,18871.39
125604,2016,12,52,20170127,25233.71
125604,2016,12,52,20170128,45555.79
125604,2017,1,1,20170129,31207.27
125604,2017,1,1,20170130,16013.3
125604,2017,1,1,20170131,13200.86
125604,2017,1,1,20170201,14928.84
125604,2017,1,1,20170202,16176.79
125604,2017,1,1,20170203,22609.92
125604,2017,1,1,20170204,39498.03
125604,2017,1,2,20170205,18522.69
125604,2017,1,2,20170206,13446.27
125604,2017,1,2,20170207,16795.66
125604,2017,1,2,20170208,18174.3
125604,2017,1,2,20170209,17037.23
125604,2017,1,2,20170210,24651.15
125604,2017,1,2,20170211,43025.37
125604,2017,1,3,20170212,36341.47
125604,2017,1,3,20170213,20233.01
125604,2017,1,3,20170214,15376.69
125604,2017,1,3,20170215,13820.2
125604,2017,1,3,20170216,17087.49
125604,2017,1,3,20170217,16553.29
125604,2017,1,3,20170218,49083.09
125604,2017,1,4,20170219,42662.46
125604,2017,1,4,20170220,31398.85
125604,2017,1,4,20170221,10888.24
125604,2017,1,4,20170222,19345.47
125604,2017,1,4,20170223,24144.38
125604,2017,1,4,20170224,35789.56
125604,2017,1,4,20170225,48029.85
125604,2017,2,5,20170226,34377.51
125604,2017,2,5,20170227,15936.85
125604,2017,2,5,20170228,15965.71
125604,2017,2,5,20170301,17324.1
125604,2017,2,5,20170302,21345.5
125604,2017,2,5,20170303,31126.43
125604,2017,2,5,20170304,45853.59
125604,2017,2,6,20170305,48307.03
125604,2017,2,6,20170306,19528.7
125604,2017,2,6,20170307,18262.09
125604,2017,2,6,20170308,18729.7
125604,2017,2,6,20170309,19165.17
125604,2017,2,6,20170310,26342.14
125604,2017,2,6,20170311,45239.44
125604,2017,2,7,20170312,31416.14
125604,2017,2,7,20170313,16691.97
125604,2017,2,7,20170314,18962.09
125604,2017,2,7,20170315,19180.78
125604,2017,2,7,20170316,18620.05
125604,2017,2,7,20170317,26738.36
125604,2017,2,7,20170318,41646.66
125604,2017,2,8,20170319,34706.85
125604,2017,2,8,20170320,19867.7
125604,2017,2,8,20170321,14579.83
125604,2017,2,8,20170322,16486.22
125604,2017,2,8,20170323,18322.74
125604,2017,2,8,20170324,28273.82
125604,2017,2,8,20170325,49573.5
125604,2017,3,9,20170326,33470.87
125604,2017,3,9,20170327,14909.64
125604,2017,3,9,20170328,17305.71
125604,2017,3,9,20170329,18015.35
125604,2017,3,9,20170330,18748.51
125604,2017,3,9,20170331,25040.82
125604,2017,3,9,20170401,45530.42
125604,2017,3,10,20170402,31034.95
